Time (sec),"CH 1, ECG (mV)","CH40, Heart Rate (mV)"
0.491,-0.064086914,0
0.492,-0.067443848,0
0.493,-0.069885254,0
0.494,-0.071716309,0
0.495,-0.073242188,0
0.496,-0.074157715,0
0.497,-0.074768066,0
0.498,-0.075073242,0
0.499,-0.075073242,0
0.5,-0.075073242,0
0.501,-0.074768066,0
0.502,-0.074768066,0
0.503,-0.074768066,0
0.504,-0.074768066,0
0.505,-0.074768066,0
0.506,-0.075073242,0
0.507,-0.075378418,0
0.508,-0.075683594,0
0.509,-0.076599121,0
0.51,-0.077209473,0
0.511,-0.077819824,0
0.512,-0.078430176,0
0.513,-0.078735352,0
0.514,-0.079040527,0
0.515,-0.079345703,0
0.516,-0.079040527,0
0.517,-0.078430176,0
0.518,-0.078125,0
0.519,-0.077819824,0
0.52,-0.077819824,0
0.521,-0.078125,0
0.522,-0.078125,0
0.523,-0.078125,0
0.524,-0.078125,0
0.525,-0.078735352,0
0.526,-0.079345703,0
0.527,-0.079956055,0
0.528,-0.080871582,0
0.529,-0.082092285,0
0.53,-0.083312988,0
0.531,-0.084533691,0
0.532,-0.085754395,0
0.533,-0.086975098,0
0.534,-0.088195801,0
0.535,-0.089111328,0
0.536,-0.090026855,0
0.537,-0.090637207,0
0.538,-0.090637207,0
0.539,-0.090637207,0
0.54,-0.090332031,0
0.541,-0.08972168,0
0.542,-0.089111328,0
0.543,-0.088195801,0
0.544,-0.087585449,0
0.545,-0.086975098,0
0.546,-0.086364746,0
0.547,-0.085754395,0
0.548,-0.085144043,0
0.549,-0.084533691,0
0.55,-0.083312988,0
0.551,-0.082092285,0
0.552,-0.080566406,0
0.553,-0.079040527,0
0.554,-0.077209473,0
0.555,-0.075378418,0
0.556,-0.073547363,0
0.557,-0.07232666,0
0.558,-0.071716309,0
0.559,-0.071105957,0
0.56,-0.07019043,0
0.561,-0.068969727,0
0.562,-0.067749023,0
0.563,-0.066833496,0
0.564,-0.06652832,0
0.565,-0.06652832,0
0.566,-0.066833496,0
0.567,-0.067443848,0
0.568,-0.068664551,0
0.569,-0.069885254,0
0.57,-0.071411133,0
0.571,-0.072937012,0
0.572,-0.073852539,0
0.573,-0.074462891,0
0.574,-0.074768066,0
0.575,-0.074768066,0
0.576,-0.074157715,0
0.577,-0.073547363,0
0.578,-0.072937012,0
0.579,-0.071716309,0
0.58,-0.07019043,0
0.581,-0.068664551,0
0.582,-0.066833496,0
0.583,-0.064697266,0
0.584,-0.062561035,0
0.585,-0.060119629,0
0.586,-0.057678223,0
0.587,-0.055236816,0
0.588,-0.05279541,0
0.589,-0.050964355,0
0.59,-0.049743652,0
0.591,-0.048828125,0
0.592,-0.048217773,0
0.593,-0.047912598,0
0.594,-0.047607422,0
0.595,-0.047912598,0
0.596,-0.048217773,0
0.597,-0.048522949,0
0.598,-0.049133301,0
0.599,-0.049743652,0
0.6,-0.050354004,0
0.601,-0.050964355,0
0.602,-0.051574707,0
0.603,-0.052185059,0
0.604,-0.053100586,0
0.605,-0.054321289,0
0.606,-0.055236816,0
0.607,-0.05645752,0
0.608,-0.057678223,0
0.609,-0.05859375,0
0.61,-0.059814453,0
0.611,-0.06072998,0
0.612,-0.061645508,0
0.613,-0.063171387,0
0.614,-0.064697266,0
0.615,-0.066223145,0
0.616,-0.067749023,0
0.617,-0.068969727,0
0.618,-0.069885254,0
0.619,-0.070495605,0
0.62,-0.070800781,0
0.621,-0.070495605,0
0.622,-0.069885254,0
0.623,-0.068969727,0
0.624,-0.067443848,0
0.625,-0.065612793,0
0.626,-0.063781738,0
0.627,-0.061645508,0
0.628,-0.059814453,0
0.629,-0.057678223,0
0.63,-0.055541992,0
0.631,-0.053100586,0
0.632,-0.050964355,0
0.633,-0.049438477,0
0.634,-0.048522949,0
0.635,-0.048217773,0
0.636,-0.048522949,0
0.637,-0.048828125,0
0.638,-0.049133301,0
0.639,-0.049743652,0
0.64,-0.05065918,0
0.641,-0.051574707,0
0.642,-0.052490234,0
0.643,-0.053710938,0
0.644,-0.055236816,0
0.645,-0.05645752,0
0.646,-0.057983398,0
0.647,-0.059204102,0
0.648,-0.059814453,0
0.649,-0.060424805,0
0.65,-0.060424805,0
0.651,-0.059814453,0
0.652,-0.059204102,0
0.653,-0.057983398,0
0.654,-0.056152344,0
0.655,-0.054321289,0
0.656,-0.05279541,0
0.657,-0.051574707,0
0.658,-0.050354004,0
0.659,-0.049438477,0
0.66,-0.048217773,0
0.661,-0.04699707,0
0.662,-0.045776367,0
0.663,-0.04486084,0
0.664,-0.044250488,0
0.665,-0.043945313,0
0.666,-0.043945313,0
0.667,-0.043640137,0
0.668,-0.043334961,0
0.669,-0.042419434,0
0.67,-0.041809082,0
0.671,-0.04119873,0
0.672,-0.040893555,0
0.673,-0.041503906,0
0.674,-0.042419434,0
0.675,-0.043640137,0
0.676,-0.045166016,0
0.677,-0.046691895,0
0.678,-0.047912598,0
0.679,-0.049133301,0
0.68,-0.050354004,0
0.681,-0.051574707,0
0.682,-0.05279541,0
0.683,-0.054321289,0
0.684,-0.055541992,0
0.685,-0.056762695,0
0.686,-0.057678223,0
0.687,-0.058288574,0
0.688,-0.05859375,0
0.689,-0.058288574,0
0.69,-0.057983398,0
0.691,-0.057373047,0
0.692,-0.05645752,0
0.693,-0.055236816,0
0.694,-0.054016113,0
0.695,-0.05279541,0
0.696,-0.051269531,0
0.697,-0.050048828,0
0.698,-0.049133301,0
0.699,-0.048522949,0
0.7,-0.048217773,0
0.701,-0.047912598,0
0.702,-0.047912598,0
0.703,-0.048217773,0
0.704,-0.048522949,0
0.705,-0.048522949,0
0.706,-0.048522949,0
0.707,-0.048522949,0
0.708,-0.048217773,0
0.709,-0.047912598,0
0.71,-0.047607422,0
0.711,-0.04699707,0
0.712,-0.046691895,0
0.713,-0.046386719,0
0.714,-0.045776367,0
0.715,-0.045166016,0
0.716,-0.044555664,0
0.717,-0.043945313,0
0.718,-0.043640137,0
0.719,-0.043640137,0
0.72,-0.044250488,0
0.721,-0.044555664,0
0.722,-0.045471191,0
0.723,-0.046081543,0
0.724,-0.04699707,0
0.725,-0.047912598,0
0.726,-0.049133301,0
0.727,-0.050048828,0
0.728,-0.050964355,0
0.729,-0.051574707,0
0.73,-0.052185059,0
0.731,-0.05279541,0
0.732,-0.05279541,0
0.733,-0.053100586,0
0.734,-0.05279541,0
0.735,-0.05279541,0
0.736,-0.052490234,0
0.737,-0.051879883,0
0.738,-0.050964355,0
0.739,-0.049743652,0
0.74,-0.048217773,0
0.741,-0.046386719,0
0.742,-0.043945313,0
0.743,-0.041809082,0
0.744,-0.039367676,0
0.745,-0.037231445,0
0.746,-0.035095215,0
0.747,-0.033569336,0
0.748,-0.032653809,0
0.749,-0.032043457,0
0.75,-0.032043457,0
0.751,-0.032348633,0
0.752,-0.03326416,0
0.753,-0.034484863,0
0.754,-0.036010742,0
0.755,-0.038146973,0
0.756,-0.040893555,0
0.757,-0.043640137,0
0.758,-0.046691895,0
0.759,-0.049743652,0
0.76,-0.05279541,0
0.761,-0.055541992,0
0.762,-0.058288574,0
0.763,-0.060424805,0
0.764,-0.061950684,0
0.765,-0.062866211,0
0.766,-0.062866211,0
0.767,-0.062255859,0
0.768,-0.061035156,0
0.769,-0.059204102,0
0.77,-0.057373047,0
0.771,-0.054931641,0
0.772,-0.052490234,0
0.773,-0.049438477,0
0.774,-0.046386719,0
0.775,-0.043334961,0
0.776,-0.040283203,0
0.777,-0.037231445,0
0.778,-0.034484863,0
0.779,-0.032348633,0
0.78,-0.030212402,0
0.781,-0.028686523,0
0.782,-0.02746582,0
0.783,-0.026550293,0
0.784,-0.025634766,0
0.785,-0.025634766,0
0.786,-0.025634766,0
0.787,-0.025939941,0
0.788,-0.026550293,0
0.789,-0.027160645,0
0.79,-0.02746582,0
0.791,-0.028076172,0
0.792,-0.028381348,0
0.793,-0.028686523,0
0.794,-0.028991699,0
0.795,-0.029602051,0
0.796,-0.030212402,0
0.797,-0.03112793,0
0.798,-0.032043457,0
0.799,-0.032653809,0
0.8,-0.032958984,0
0.801,-0.032958984,0
0.802,-0.032958984,0
0.803,-0.032958984,0
0.804,-0.032653809,0
0.805,-0.032348633,0
0.806,-0.032043457,0
0.807,-0.031738281,0
0.808,-0.031433105,0
0.809,-0.03112793,0
0.81,-0.030822754,0
0.811,-0.030517578,0
0.812,-0.030212402,0
0.813,-0.029602051,0
0.814,-0.028686523,0
0.815,-0.027770996,0
0.816,-0.026855469,0
0.817,-0.025939941,0
0.818,-0.02532959,0
0.819,-0.024719238,0
0.82,-0.024414063,0
0.821,-0.024414063,0
0.822,-0.024108887,0
0.823,-0.024108887,0
0.824,-0.023803711,0
0.825,-0.024108887,0
0.826,-0.024108887,0
0.827,-0.024414063,0
0.828,-0.024414063,0
0.829,-0.024414063,0
0.83,-0.024414063,0
0.831,-0.024719238,0
0.832,-0.025024414,0
0.833,-0.025634766,0
0.834,-0.025939941,0
0.835,-0.026550293,0
0.836,-0.026855469,0
0.837,-0.026855469,0
0.838,-0.027160645,0
0.839,-0.026855469,0
0.84,-0.026855469,0
0.841,-0.026855469,0
0.842,-0.026855469,0
0.843,-0.026855469,0
0.844,-0.026855469,0
0.845,-0.026855469,0
0.846,-0.026550293,0
0.847,-0.025939941,0
0.848,-0.02532959,0
0.849,-0.024719238,0
0.85,-0.024414063,0
0.851,-0.023803711,0
0.852,-0.023193359,0
0.853,-0.022888184,0
0.854,-0.022583008,0
0.855,-0.022277832,0
0.856,-0.021972656,0
0.857,-0.022277832,0
0.858,-0.022583008,0
0.859,-0.023193359,0
0.86,-0.023803711,0
0.861,-0.024414063,0
0.862,-0.025024414,0
0.863,-0.025634766,0
0.864,-0.026245117,0
0.865,-0.026550293,0
0.866,-0.026855469,0
0.867,-0.026855469,0
0.868,-0.026855469,0
0.869,-0.026550293,0
0.87,-0.026245117,0
0.871,-0.02532959,0
0.872,-0.024414063,0
0.873,-0.023193359,0
0.874,-0.021972656,0
0.875,-0.020751953,0
0.876,-0.018920898,0
0.877,-0.017089844,0
0.878,-0.015258789,0
0.879,-0.013122559,0
0.88,-0.011291504,0
0.881,-0.009155273,0
0.882,-0.007019043,0
0.883,-0.004882813,0
0.884,-0.002746582,0
0.885,-0.000915527,0
0.886,0.000305176,0
0.887,0.001220703,0
0.888,0.001831055,0
0.889,0.002441406,0
0.89,0.003051758,0
0.891,0.003662109,0
0.892,0.004272461,0
0.893,0.004882813,0
0.894,0.004882813,0
0.895,0.005187988,0
0.896,0.005187988,0
0.897,0.005493164,0
0.898,0.00579834,0
0.899,0.006408691,0
0.9,0.007019043,0
0.901,0.008239746,0
0.902,0.009460449,0
0.903,0.010986328,0
0.904,0.012817383,0
0.905,0.014343262,0
0.906,0.016174316,0
0.907,0.01739502,0
0.908,0.018615723,0
0.909,0.01953125,0
0.91,0.020141602,0
0.911,0.021057129,0
0.912,0.021972656,0
0.913,0.023498535,0
0.914,0.024719238,0
0.915,0.026550293,0
0.916,0.028381348,0
0.917,0.030212402,0
0.918,0.032348633,0
0.919,0.034484863,0
0.92,0.03692627,0
0.921,0.039672852,0
0.922,0.042419434,0
0.923,0.045471191,0
0.924,0.048522949,0
0.925,0.051879883,0
0.926,0.055541992,0
0.927,0.059204102,0
0.928,0.062561035,0
0.929,0.065917969,0
0.93,0.068664551,0
0.931,0.071105957,0
0.932,0.072937012,0
0.933,0.074768066,0
0.934,0.076293945,0
0.935,0.077209473,0
0.936,0.077819824,0
0.937,0.078430176,0
0.938,0.079345703,0
0.939,0.079956055,0
0.94,0.080566406,0
0.941,0.080566406,0
0.942,0.080566406,0
0.943,0.079956055,0
0.944,0.079040527,0
0.945,0.077514648,0
0.946,0.075683594,0
0.947,0.073547363,0
0.948,0.071105957,0
0.949,0.068359375,0
0.95,0.065307617,0
0.951,0.062255859,0
0.952,0.05859375,0
0.953,0.055236816,0
0.954,0.052185059,0
0.955,0.049133301,0
0.956,0.046386719,0
0.957,0.043640137,0
0.958,0.040893555,0
0.959,0.038146973,0
0.96,0.035705566,0
0.961,0.033569336,0
0.962,0.031738281,0
0.963,0.030212402,0
0.964,0.028686523,0
0.965,0.02746582,0
0.966,0.026245117,0
0.967,0.024719238,0
0.968,0.023193359,0
0.969,0.021057129,0
0.97,0.018615723,0
0.971,0.015869141,0
0.972,0.012817383,0
0.973,0.009460449,0
0.974,0.00579834,0
0.975,0.00213623,0
0.976,-0.001525879,0
0.977,-0.005187988,0
0.978,-0.008850098,0
0.979,-0.012817383,0
0.98,-0.016479492,0
0.981,-0.020446777,0
0.982,-0.024108887,0
0.983,-0.027770996,0
0.984,-0.030822754,0
0.985,-0.033569336,0
0.986,-0.035705566,0
0.987,-0.037536621,0
0.988,-0.038757324,0
0.989,-0.039672852,0
0.99,-0.040283203,0
0.991,-0.040588379,0
0.992,-0.040588379,0
0.993,-0.039978027,0
0.994,-0.0390625,0
0.995,-0.037841797,0
0.996,-0.036315918,0
0.997,-0.034790039,0
0.998,-0.03326416,0
0.999,-0.031738281,0
1,-0.030212402,0
1.001,-0.028991699,0
1.002,-0.028381348,0
1.003,-0.028076172,0
1.004,-0.028381348,0
1.005,-0.029296875,0
1.006,-0.030517578,0
1.007,-0.032348633,0
1.008,-0.034790039,0
1.009,-0.037231445,0
1.01,-0.039672852,0
1.011,-0.042724609,0
1.012,-0.045776367,0
1.013,-0.049133301,0
1.014,-0.052185059,0
1.015,-0.054931641,0
1.016,-0.057067871,0
1.017,-0.058898926,0
1.018,-0.059814453,0
1.019,-0.06072998,0
1.02,-0.061035156,0
1.021,-0.061035156,0
1.022,-0.060424805,0
1.023,-0.059814453,0
1.024,-0.05859375,0
1.025,-0.057067871,0
1.026,-0.055236816,0
1.027,-0.053100586,0
1.028,-0.05065918,0
1.029,-0.048522949,0
1.03,-0.046081543,0
1.031,-0.044250488,0
1.032,-0.042724609,0
1.033,-0.04119873,0
1.034,-0.039978027,0
1.035,-0.038757324,0
1.036,-0.037841797,0
1.037,-0.037536621,0
1.038,-0.037536621,0
1.039,-0.037841797,0
1.04,-0.038452148,0
1.041,-0.039672852,0
1.042,-0.040893555,0
1.043,-0.042419434,0
1.044,-0.04486084,0
1.045,-0.047607422,0
1.046,-0.051269531,0
1.047,-0.055541992,0
1.048,-0.060424805,0
1.049,-0.065612793,0
1.05,-0.071411133,0
1.051,-0.077209473,0
1.052,-0.083618164,0
1.053,-0.090026855,0
1.054,-0.096740723,0
1.055,-0.10345459,0
1.056,-0.109863281,0
1.057,-0.115966797,0
1.058,-0.121459961,0
1.059,-0.126037598,0
1.06,-0.129394531,0
1.061,-0.131225586,0
1.062,-0.131530762,0
1.063,-0.130310059,0
1.064,-0.126953125,0
1.065,-0.121154785,0
1.066,-0.112915039,0
1.067,-0.101928711,0
1.068,-0.087585449,0
1.069,-0.07019043,0
1.07,-0.049133301,0
1.071,-0.024414063,0
1.072,0.004272461,0
1.073,0.036621094,0
1.074,0.07232666,0
1.075,0.111083984,0
1.076,0.152893066,0
1.077,0.19744873,0
1.078,0.244140625,0
1.079,0.29296875,0
1.08,0.343322754,0
1.081,0.394897461,0
1.082,0.447387695,0
1.083,0.500183105,0
1.084,0.552978516,0
1.085,0.604858398,0
1.086,0.655212402,0
1.087,0.703735352,0
1.088,0.749511719,0
1.089,0.792236328,0
1.09,0.832519531,0
1.091,0.869750977,0
1.092,0.904541016,0
1.093,0.936279297,0
1.094,0.964660645,0
1.095,0.988464355,0
